SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000002577,0.016531369,0.960866966,0.003579284,1.00112E-05,0.01901237,,2/14/2018,471.6958333,#N/A,229.2948718,0.0010191
11136000002578,0.075386108,0.843715191,0.079068427,0.000271501,0.001558639,8/3/2015,9/7/2017,2092.280556,2.731436757,232.4358974,0.001037044
11136000002586,0.002874045,0.67482163,0.010587726,0.004112056,0.307604033,8/3/2015,8/11/2017,543.6588889,0.735668321,235.5769231,0.001055054
11136000002590,0.000334901,0.122567285,0.876675068,3.93213E-06,0.00041873,8/3/2015,1/13/2017,3320.221667,6.276411468,238.7179487,0.001073122
11136000002591,0.013058604,0.970850051,0.008670184,2.80679E-06,0.007421161,8/3/2015,6/22/2016,197.9325,0.610902778,241.8589744,0.001091242
11136000002597,0.014425437,0.248380509,0.722556523,1.51496E-05,0.014619351,8/3/2015,1/22/2018,91.67833333,0.101526394,245,0.001109404
11136000002601,0,0.93650843,0.059459875,8.71215E-07,0.004030824,8/4/2015,2/10/2018,956.5180556,1.038564664,248.1410256,0.001127602
11136000002605,0.002012489,0.989600113,0.004084487,2.70496E-06,0.004299531,8/4/2015,8/3/2017,410.7683333,0.562696347,251.2820513,0.001145826
11136000002610,0.002091913,0.229001066,0.526539446,6.79192E-06,0.24236531,8/4/2015,8/25/2016,122.6947222,0.317040626,254.4230769,0.001164069
11136000002620,0.010005551,0.348383921,0.624743865,0.007598965,0.009266557,8/4/2015,12/1/2016,243.1983333,0.501439863,257.5641026,0.001182322
11136000002622,0.000436116,0.032617713,0.957566069,2.23834E-05,0.009356996,8/4/2015,12/28/2017,384.7091667,0.438664956,260.7051282,0.001200577
11136000002629,0.001929115,0.018836759,0.012125654,0.025669136,0.941440084,8/4/2015,1/19/2017,742.1363889,1.389768519,263.8461538,0.001218825
11136000002633,0.006637409,0.030500254,0.133553218,0.758131346,0.07117849,8/4/2015,8/24/2017,387.4922222,0.515968339,266.9871795,0.001237057
11136000002634,0.004819341,0.977797608,0.011972787,7.99625E-06,0.005401468,8/4/2015,1/9/2018,347.385,0.39075928,270.1282051,0.001255265
11136000002652,0.004107474,0.246622562,0.637498098,0.060726824,0.051044478,8/7/2015,7/10/2016,492.9361111,1.458390861,273.2692308,0.001273438
11136000002658,0.001058157,0.364666172,0.352760276,0.178999435,0.102517265,8/7/2015,8/18/2017,212.8963889,0.286922357,276.4102564,0.001291569
11136000002662,0.000770871,0.009002175,0.984932775,0.000342524,0.00495089,8/7/2015,1/23/2017,362.505,0.677579439,279.5512821,0.001309647
11136000002670,0.000753985,0.989687593,0.004663731,1.55354E-05,0.00487812,8/7/2015,9/22/2016,268.2044444,0.650981661,282.6923077,0.001327663
11136000002675,0.005790983,0.076148527,0.909733453,3.2639E-06,0.008322957,8/7/2015,12/21/2016,340.4238889,0.678135237,285.8333333,0.001345609
11136000002678,0.126994601,0.607120942,0.235361805,0.019022009,0.011499824,8/8/2015,10/7/2016,678.5852778,1.592923187,288.974359,0.001363474
11136000002686,0.031110045,0.791277029,0.134807821,0.003174882,0.039625473,8/8/2015,7/6/2016,116.9772222,0.35128295,292.1153846,0.001381249
11136000002700,0.000394533,0.020530242,0.97636434,0.000868967,0.001842301,,10/28/2016,726.5975,#N/A,295.2564103,0.001398924
11136000002703,0.001787292,0.865532851,0.118585316,0.000784533,0.013310008,8/10/2015,1/26/2017,154.0194444,0.287886812,298.3974359,0.001416489
11136000002707,0.000964535,0.117221567,0.150519495,0.140855924,0.590437178,,12/19/2016,213.4016667,#N/A,301.5384615,0.001433935
11136000002714,0.000132679,0.004236922,0.784545576,0.209247243,0.00183758,8/10/2015,9/21/2017,5395.229722,6.979598606,304.6794872,0.001451252
11136000002717,0.021140433,0.008430133,0.614019757,4.98168E-06,0.356404469,8/10/2015,12/20/2017,1226.717222,1.421456804,307.8205128,0.00146843
11136000002721,0.011359588,0.007620011,0.936559166,0.027498778,0.016961773,8/10/2015,9/7/2017,406.2402778,0.535230933,310.9615385,0.00148546
11136000002722,0.845189829,0.123387261,0.027674149,9.71878E-05,0.003651261,8/10/2015,3/21/2018,888.8861111,0.931746448,314.1025641,0.00150233
11136000002729,0.020681326,0.846084318,0.101269073,0.019400522,0.0125638,,9/6/2016,288.8811111,#N/A,317.2435897,0.001519033
11136000002732,5.29051E-06,0.982454037,0.012072053,4.40876E-07,0.005467738,,12/19/2016,630.0594444,#N/A,320.3846154,0.001535557
11136000002738,0.111885646,0.493371574,0.012951098,0.376736476,0.00505423,8/11/2015,11/10/2016,284.3602778,0.622232555,323.525641,0.001551893
11136000002745,0.000981952,0.964371017,0.030093504,0.000670246,0.003882513,8/12/2015,5/10/2018,361.8075,0.361085329,326.6666667,0.001568031
